,nameWithOwner,createdAt,releasesByRepoAge,averageTimeForMergePR
sanity-io/block-content-to-react,2017-06-08T07:02:33Z,0.0,4
callstack/component-docs,2016-12-04T10:34:26Z,13.5,6
intellidev1991/react-native-image-slider-box,2019-07-31T13:58:08Z,0.0,20
felangel/bloc.js,2019-08-11T05:01:32Z,3.57,4
heartexlabs/label-studio-frontend,2020-01-08T13:45:26Z,6.3,4
Turkyden/react-darkreader,2020-11-24T03:53:25Z,10.26,0
yahoo/jafar,2020-01-02T17:09:18Z,6.25,3
Talend/ui,2017-01-18T13:45:58Z,88.92,5
dataformsjs/dataformsjs,2019-11-14T23:51:35Z,6.34,0
bezkoder/react-jwt-auth,2020-04-29T23:26:17Z,0.0,0
K-G-PRAJWAL/ReactJS-Projects,2020-04-10T05:39:01Z,0.0,1
HBM/md-components,2016-07-08T14:50:46Z,5.87,2
paljs/ui,2019-02-12T07:57:04Z,1.83,1
opentok/opentok-react,2016-11-07T07:05:27Z,1.58,29
Doist/reactist,2015-09-29T08:36:20Z,8.47,4
thoughtbot/breezy,2016-10-31T01:24:11Z,0.0,5
oslabs-beta/react-pinpoint,2020-07-25T15:43:06Z,1.39,0
chadpaulson/react-cassette-player,2014-12-11T14:52:27Z,0.0,0
chinmaymahajan/Registration-and-Login-using-MERN-stack,2019-02-01T23:59:05Z,0.0,0
jerolimov/react-showdown,2015-12-02T00:59:57Z,0.0,17
fus-marcom/resource-center,2017-07-20T18:47:19Z,0.0,2
gfazioli/react-switch-button,2015-02-24T11:30:22Z,2.44,1
macku/jest-puppe-shots,2018-02-04T22:04:33Z,0.63,0
based-ghost/react-functional-select,2019-10-21T02:54:11Z,25.5,19
walkframe/react-gridsheet,2020-09-22T13:37:11Z,0.0,8
paljs/nextjs-admin-template,2020-10-11T08:04:50Z,0.0,0
mrsaeeddev/neumorphic-ui,2019-12-30T13:17:17Z,0.0,39
kodi24fever/reactjs-portfolio,2019-03-22T14:50:50Z,0.0,0
repetere/jsonx,2018-01-10T14:07:12Z,0.0,15
jktzes/humaaans,2019-01-08T10:56:45Z,0.0,0
Haixiang6123/guitar-editor,2018-03-12T00:38:29Z,0.0,18
tundra-code/aurora,2017-07-08T04:17:45Z,0.26,1
saulhoward/react-evil-icons,2015-02-14T21:49:52Z,0.49,64
lucasconstantino/react-policies,2016-07-24T19:40:23Z,0.0,8
the0neWhoKnocks/boilerplate.react.spa.full-server,2018-06-18T16:16:15Z,0.0,0
ticky/markdown-component-loader,2016-10-17T06:25:48Z,1.56,26
Merri/react-tabbordion,2015-06-24T19:32:18Z,4.99,0
xavierlefevre/shared-react-components-example,2019-03-26T12:24:52Z,0.0,2
CVarisco/delete-react-zombies,2018-02-20T08:26:01Z,0.0,0
necinc/msvgc,2016-11-09T12:57:51Z,0.23,2
SUI-Components/sui-components,2016-11-25T10:36:34Z,0.0,3
denisraslov/snappify,2018-03-14T10:29:13Z,0.0,0
liferay-design/liferay.design,2017-12-19T21:55:44Z,0.9,1
GetAmbassador/react-ions,2016-04-06T14:11:38Z,44.14,1
PlatziDev/socket.io-react,2016-03-18T21:13:38Z,1.18,0
trendmicro-frontend/styled-ui,2020-01-18T01:12:04Z,32.26,2
ZitRos/react-xmasonry,2017-03-10T19:54:03Z,0.0,0
treyhuffine/lightbox-react,2017-05-15T23:15:13Z,0.26,58
alexandr-g/cra-template-typescript-redux,2020-01-14T22:25:23Z,29.6,7
jalbertsr/react-movies-app,2017-10-13T20:58:04Z,0.0,2
Trendyol/quarkify,2019-06-26T13:02:33Z,0.0,0
SparkPost/matchbox,2017-05-11T21:05:30Z,33.08,6
michal-wrzosek/react-component-lib,2019-03-21T21:52:03Z,0.0,0
react-spectre/react-spectre,2018-01-02T22:31:54Z,0.0,3
cerner/terra-clinical,2017-04-05T17:02:58Z,2.48,8
rafal-r/airr-react,2017-08-25T16:54:16Z,1.1,10
fortunar/react-sidemenu,2016-07-09T17:28:02Z,1.05,39
cerner/terra-framework,2017-10-20T20:43:46Z,0.0,9
beautifulinteractions/beautiful-react-ui,2020-01-10T17:08:09Z,0.0,0
ludejun/Deep-Viz,2017-11-27T03:12:17Z,0.59,0
suhailsulu/react-carousel-3d,2018-04-03T08:05:44Z,0.0,11
edx/paragon,2017-04-27T18:57:22Z,59.19,12
flyfloor/react-uikits,2016-08-10T04:01:13Z,0.0,0
seeden/react-form-controlled,2015-06-19T01:07:28Z,2.06,2
metosin/komponentit,2016-05-05T19:44:41Z,0.0,0
rutvikbhatt9/react-native-header-animation,2019-05-12T05:52:06Z,0.0,153
jrgarciadev/react-iconly,2020-11-16T21:01:39Z,21.95,0
soluteli/react-bscroll,2017-09-24T08:34:28Z,0.0,0
Jam3/react-background-video-player,2016-12-26T01:06:44Z,0.0,20
nguyenvanhoang26041994/fork-ui,2018-12-03T06:28:46Z,0.0,0
UCloud-FE/react-components,2018-09-19T08:30:16Z,45.35,0
garmeeh/lerna-starter,2017-10-20T16:57:34Z,0.0,0
dmitrymorozoff/react-circle-slider,2017-12-24T14:12:59Z,0.0,0
androidneha/mern-admin-panel,2019-07-12T14:59:44Z,0.0,43
matt-eric/web-audio-fft-visualization-with-react-hooks,2019-10-09T22:08:41Z,0.0,165
bitovi/ylem,2017-01-18T17:47:28Z,1.18,11
rkotze/should-enzyme,2016-09-17T22:49:15Z,2.62,2
MoOx/react-multiversal,2019-05-30T14:00:15Z,0.0,0
99x/react-scaffolder,2016-08-22T05:25:01Z,0.43,11
BrandwatchLtd/axiom-react,2016-04-14T14:23:00Z,56.69,3
cobaltinc/caple-design-system,2020-03-04T04:12:28Z,0.0,0
line64/landricks-components,2016-08-05T15:32:28Z,0.0,15
segunolalive/helloBooks,2017-08-01T08:31:01Z,0.0,0
rsuite/rsuite.github.io,2016-06-07T07:01:52Z,0.0,1
cht8687/react-expandable-listview,2015-11-14T11:47:22Z,0.18,0
getspooky/Reactrix,2020-08-29T11:07:21Z,9.52,0
fyndiq/fyndiq-ui,2017-03-30T07:22:47Z,3.46,6
clair-design/clair,2017-08-03T03:27:31Z,9.19,3
KissKissBankBank/kitten,2016-06-16T12:46:14Z,0.0,4
IBM/watson-speech-translator,2020-01-08T18:22:31Z,0.0,0
MOhammedRiaad/React-Interview-Questions,2019-10-05T14:53:38Z,0.0,0
Mosque-Screens/Mosque-Screen,2019-01-08T20:17:00Z,2.2,28
ecmadao/light-ui,2017-03-10T02:31:06Z,0.0,0
devroclub/URL-Shortener,2019-08-14T16:32:58Z,0.0,0
alkin/vue-react,2017-08-05T21:52:22Z,0.0,0
DigitalRiver/react-atlas,2016-01-21T19:41:57Z,0.19,1
AnushanLingam/OpenTrivia,2018-05-30T21:27:17Z,0.0,0
mariorodeghiero/git-commands,2018-07-20T00:18:02Z,0.0,0
recurly/react-recurly,2019-11-27T20:00:22Z,7.97,3
davesnx/babel-plugin-transform-react-qa-classes,2017-04-12T17:20:21Z,0.75,16
remarkjs/react-remark,2020-05-17T14:13:44Z,4.35,1
Chalarangelo/furl,2019-03-07T09:53:10Z,2.84,0
tkh44/react-nes,2017-01-29T07:26:39Z,0.0,0
Hina-softwareEngineer/Covid_19_tracker,2020-05-09T18:40:12Z,0.0,0
agudulin/dumb-bem,2016-02-13T17:49:14Z,0.0,6
drgx/react-thanos-snap,2019-05-17T10:28:19Z,0.0,0
bitjourney/react-simple-image,2016-12-24T02:37:41Z,0.0,16
heydovetail/react-masonry-responsive,2018-04-30T08:27:23Z,0.0,1
sodify/insites-ui,2020-04-11T17:30:42Z,0.0,1
zopaUK/react-components,2019-05-22T09:51:43Z,114.21,2
treyhuffine/is-react,2017-05-16T00:58:06Z,0.77,1
NE-LOAN-FED/NE-Component,2016-11-02T11:00:35Z,1.8,3
hirokazutei/react-native-spacing-system,2019-08-10T15:46:06Z,8.33,1
NoHomey/material-ui-number-input,2016-08-05T15:00:43Z,9.36,1
iCHEF/gypcrete,2017-02-24T06:08:12Z,11.59,2
sottar/react-image-resizer,2017-05-16T00:40:26Z,0.0,25
mrtnbroder/universal-react-webpack-boilerplate,2015-04-24T01:54:15Z,0.0,0
muskeinsingh/recyclerlistview-gridlayoutprovider,2018-06-29T08:46:22Z,0.0,0
buttercup/ui,2017-02-08T20:59:32Z,6.7,1
yahoo/jsx-test,2015-01-21T22:08:32Z,0.96,0
sha-el/sha-el-design,2020-05-12T15:47:17Z,12.9,3
ubcent/react-circular-color,2017-08-17T12:59:31Z,1.36,7
jalal246/folo,2018-05-14T11:59:33Z,0.0,1
snappmarket/frontend-toolbox,2019-12-10T12:03:08Z,37.04,1
react-lds/react-lds,2016-05-31T14:22:12Z,16.6,4
EMCECS/clarity-react,2019-03-22T02:59:29Z,0.0,6
koole/react-sanctum,2020-02-29T22:29:04Z,0.0,0
Workable/backbone.react-bridge,2017-01-17T10:49:04Z,0.0,146
quantumblacklabs/kedro-ui,2019-06-06T08:44:41Z,1.08,5
curioustushar/react-sample-projects,2020-05-22T04:36:48Z,0.0,0
the-road-to-learn-react/react-component-organization-example,2017-10-13T05:25:39Z,0.0,0
yahoo/fluxible-immutable-utils,2015-03-17T17:41:20Z,1.81,6
unosquare/uno-react,2019-01-24T20:01:42Z,0.9,1
AdventureBear/trot,2017-01-15T21:54:27Z,0.24,58
mrsaeeddev/awesome-neumorphism,2020-03-29T20:17:16Z,0.0,1
unosquare/uno-material-ui,2019-03-27T16:36:13Z,1.46,0
dylanngo95/react-native-snippet,2017-12-22T00:32:37Z,0.0,0
mariorodeghiero/git-issue-react-electronjs,2018-11-17T00:52:38Z,0.0,0
lundegaard/lundium,2020-01-13T12:37:05Z,0.0,10
eskimoblood/rc-knob,2019-01-03T17:52:00Z,0.44,22
heynext/effect-dropdown-react,2018-01-01T11:55:38Z,0.61,0
Bunlong/react-qrcodes,2020-05-09T02:30:07Z,1.06,86
felixgirault/rea11y,2015-03-26T23:24:35Z,0.0,0
zxch3n/image-labeler-react,2019-06-14T15:18:51Z,0.0,47
nowaalex/af-virtual-scroll,2019-12-15T00:18:12Z,0.0,0
diegohaz/list-react-files,2017-05-25T05:54:03Z,0.0,0
HaysS/react-native-menu-bar,2018-12-19T19:40:56Z,0.0,0
react-pakistan/react-native-boilerplate,2018-11-15T06:34:20Z,0.0,1
harounchebbi/Mern-Stack-Crud-App,2019-10-19T10:47:55Z,0.0,8
sajari/sdk-react,2016-07-18T00:04:53Z,25.89,2
