,cursor,name_with_owner,url,stargazer_count,topic,create_at,dependencies,weight,gzipped
0,Y3Vyc29yOjQy,react-cropper/react-cropper,https://github.com/react-cropper/react-cropper,1424,react-components,2015-05-06 06:32:36+00:00,1,39.05,12.63
0,Y3Vyc29yOjQz,feathericons/react-feather,https://github.com/feathericons/react-feather,1410,react-components,2017-06-14 11:01:13+00:00,1,356.95,25.55
0,Y3Vyc29yOjQ0,vazco/uniforms,https://github.com/vazco/uniforms,1380,react-components,2016-05-10 13:08:50+00:00,3,44.11,12.78
0,Y3Vyc29yOjQ1,myxvisual/react-uwp,https://github.com/myxvisual/react-uwp,1147,react-components,2017-01-09 04:20:58+00:00,14,526.99,129.62
0,Y3Vyc29yOjQ2,jaywcjlove/awesome-uikit,https://github.com/jaywcjlove/awesome-uikit,1139,react-components,2017-12-07 16:33:57+00:00,-1,867.0,-1.0
0,Y3Vyc29yOjQ3,jakubgarfield/expenses,https://github.com/jakubgarfield/expenses,1108,react-components,2017-06-06 04:53:58+00:00,4,300.0,190.0
0,Y3Vyc29yOjQ4,couds/react-bulma-components,https://github.com/couds/react-bulma-components,1023,react-components,2017-09-18 15:14:39+00:00,2,179.01,20.11
0,Y3Vyc29yOjQ5,gilbarbara/react-inlinesvg,https://github.com/gilbarbara/react-inlinesvg,957,react-components,2014-03-23 05:04:09+00:00,2,18.91,6.82
0,Y3Vyc29yOjUw,jrowny/react-absolute-grid,https://github.com/jrowny/react-absolute-grid,912,react-components,2015-06-11 20:02:58+00:00,0,40.81,10.94
0,Y3Vyc29yOjUx,CVarisco/create-component-app,https://github.com/CVarisco/create-component-app,879,react-components,2017-06-27 20:41:11+00:00,-1,25475.0,-1.0
0,Y3Vyc29yOjUy,thedevelobear/react-rewards,https://github.com/thedevelobear/react-rewards,863,react-components,2018-11-12 23:28:34+00:00,2,347.42,88.49
0,Y3Vyc29yOjUz,ZhongAnTech/zarm,https://github.com/ZhongAnTech/zarm,863,react-components,2016-07-13 11:45:37+00:00,9,377.69,91.05
0,Y3Vyc29yOjU0,wix/wix-style-react,https://github.com/wix/wix-style-react,802,react-components,2016-11-14 14:37:00+00:00,-1,30086.0,-1.0
0,Y3Vyc29yOjU1,anubhavsrivastava/awesome-ui-component-library,https://github.com/anubhavsrivastava/awesome-ui-component-library,705,react-components,2018-11-25 07:32:19+00:00,-1,240.0,-1.0
0,Y3Vyc29yOjU2,ukrbublik/react-awesome-query-builder,https://github.com/ukrbublik/react-awesome-query-builder,702,react-components,2017-07-26 12:07:17+00:00,10,628.34,149.67
0,Y3Vyc29yOjU3,seeden/react-facebook,https://github.com/seeden/react-facebook,670,react-components,2016-02-21 17:31:51+00:00,3,54.16,12.87
0,Y3Vyc29yOjU4,blueberryapps/react-bluekit,https://github.com/blueberryapps/react-bluekit,660,react-components,2015-11-24 13:17:51+00:00,17,1.61,423.04
0,Y3Vyc29yOjU5,stephane-monnot/react-vertical-timeline,https://github.com/stephane-monnot/react-vertical-timeline,645,react-components,2017-10-26 22:06:31+00:00,0,5.85,1.37
0,Y3Vyc29yOjYw,mbasso/react-decoration,https://github.com/mbasso/react-decoration,641,react-components,2016-09-27 20:59:55+00:00,1,20.37,3.9
0,Y3Vyc29yOjYx,pivotal-cf/pivotal-ui,https://github.com/pivotal-cf/pivotal-ui,638,react-components,2014-05-16 18:52:56+00:00,-1,91361.0,-1.0
0,Y3Vyc29yOjYy,sumup-oss/circuit-ui,https://github.com/sumup-oss/circuit-ui,635,react-components,2017-06-26 09:57:50+00:00,-1,17649.0,-1.0
0,Y3Vyc29yOjYz,kimmelsg/cj-upload,https://github.com/kimmelsg/cj-upload,588,react-components,2016-08-30 03:15:37+00:00,-1,860.0,-1.0
0,Y3Vyc29yOjY0,Detaysoft/react-chat-elements,https://github.com/Detaysoft/react-chat-elements,582,react-components,2017-07-30 18:46:29+00:00,7,142.09,27.66
0,Y3Vyc29yOjY1,digiaonline/react-foundation,https://github.com/digiaonline/react-foundation,573,react-components,2016-03-10 19:58:03+00:00,3,48.7,7.61
0,Y3Vyc29yOjY2,creativetimofficial/light-bootstrap-dashboard-react,https://github.com/creativetimofficial/light-bootstrap-dashboard-react,568,react-components,2017-09-19 14:03:33+00:00,-1,20358.0,-1.0
0,Y3Vyc29yOjY3,react-theming/storybook-addon-material-ui,https://github.com/react-theming/storybook-addon-material-ui,520,react-components,2016-09-13 08:30:16+00:00,6,8.11,2.64
0,Y3Vyc29yOjY4,infeng/react-viewer,https://github.com/infeng/react-viewer,505,react-components,2016-09-29 14:57:05+00:00,1,39.34,15.05
0,Y3Vyc29yOjY5,antvis/Graphin,https://github.com/antvis/Graphin,494,react-components,2019-11-06 13:15:50+00:00,1,10.56,3.67
0,Y3Vyc29yOjcw,craig1123/react-recipes,https://github.com/craig1123/react-recipes,469,react-components,2019-10-25 02:01:29+00:00,0,17.11,5.31
0,Y3Vyc29yOjcx,10086XIAOZHANG/CP-DESIGN,https://github.com/10086XIAOZHANG/CP-DESIGN,466,react-components,2020-03-15 15:42:12+00:00,-1,9917.0,-1.0
0,Y3Vyc29yOjcy,spotify/reactochart,https://github.com/spotify/reactochart,463,react-components,2016-01-07 20:58:18+00:00,6,370.89,100.94
0,Y3Vyc29yOjcz,patternfly/patternfly-react,https://github.com/patternfly/patternfly-react,463,react-components,2017-03-08 22:31:12+00:00,21,1.25,306.1
0,Y3Vyc29yOjc0,kulakowka/react-bulma,https://github.com/kulakowka/react-bulma,454,react-components,2017-05-30 21:04:25+00:00,-1,1689.0,-1.0
0,Y3Vyc29yOjc1,dsznajder/vscode-es7-javascript-react-snippets,https://github.com/dsznajder/vscode-es7-javascript-react-snippets,448,react-components,2017-06-07 18:52:04+00:00,-1,271.0,-1.0
0,Y3Vyc29yOjc2,strapi/buffet,https://github.com/strapi/buffet,435,react-components,2019-01-25 09:47:01+00:00,5,84.41,25.8
0,Y3Vyc29yOjc3,brandonmowat/react-chat-ui,https://github.com/brandonmowat/react-chat-ui,432,react-components,2016-08-22 14:11:11+00:00,1,6.48,1.85
0,Y3Vyc29yOjc4,cloudinary/cloudinary-react,https://github.com/cloudinary/cloudinary-react,431,react-components,2016-08-30 10:56:20+00:00,2,102.05,25.84
0,Y3Vyc29yOjc5,TroyAlford/react-jsx-parser,https://github.com/TroyAlford/react-jsx-parser,401,react-components,2017-01-30 00:28:31+00:00,6,221.88,65.52
0,Y3Vyc29yOjgw,instamobile/recipes-app-react-native,https://github.com/instamobile/recipes-app-react-native,397,react-components,2019-07-23 03:53:48+00:00,-1,332.0,-1.0
0,Y3Vyc29yOjgx,bem/bem-react,https://github.com/bem/bem-react,387,react-components,2016-06-01 16:16:02+00:00,-1,2479.0,-1.0
0,Y3Vyc29yOjgy,ayrton/react-key-handler,https://github.com/ayrton/react-key-handler,386,react-components,2016-02-27 20:27:48+00:00,3,5.88,2.52
0,Y3Vyc29yOjgz,ConsenSysMesh/rimble-ui,https://github.com/ConsenSysMesh/rimble-ui,372,react-components,2018-07-10 18:24:51+00:00,12,1.5,341.75
0,Y3Vyc29yOjg0,bmcmahen/sancho,https://github.com/bmcmahen/sancho,370,react-components,2019-02-25 20:50:06+00:00,33,424.63,90.9
0,Y3Vyc29yOjg1,XiaoMi/hiui,https://github.com/XiaoMi/hiui,369,react-components,2018-10-08 10:10:20+00:00,-1,113097.0,-1.0
0,Y3Vyc29yOjg2,dennismorello/react-awesome-reveal,https://github.com/dennismorello/react-awesome-reveal,369,react-components,2019-11-24 10:39:59+00:00,3,50.92,12.8
0,Y3Vyc29yOjg3,vortesnail/qier-player,https://github.com/vortesnail/qier-player,368,react-components,2019-10-14 12:54:21+00:00,7,107.8,33.42
0,Y3Vyc29yOjg4,iansinnott/react-string-replace,https://github.com/iansinnott/react-string-replace,362,react-components,2016-02-03 23:22:02+00:00,1,4.08,1.45
0,Y3Vyc29yOjg5,leefsmp/Re-Flex,https://github.com/leefsmp/Re-Flex,359,react-components,2016-12-21 06:49:31+00:00,5,65.89,21.85
0,Y3Vyc29yOjkw,sarneeh/reaptcha,https://github.com/sarneeh/reaptcha,331,react-components,2018-05-29 08:55:50+00:00,0,5.95,2.09
0,Y3Vyc29yOjkx,React-Scope/React-Scope,https://github.com/React-Scope/React-Scope,317,react-components,2018-01-20 18:50:49+00:00,0,1.81,906.0
0,Y3Vyc29yOjky,segunadebayo/chakra-ui,https://github.com/segunadebayo/chakra-ui,315,react-components,2019-06-06 23:07:21+00:00,17,279.59,89.02
0,Y3Vyc29yOjkz,wwwaiser/react-js-pagination,https://github.com/wwwaiser/react-js-pagination,310,react-components,2015-09-30 11:40:57+00:00,6,17.56,5.44
0,Y3Vyc29yOjk0,ibitcy/eo-locale,https://github.com/ibitcy/eo-locale,303,react-components,2018-05-10 13:59:53+00:00,1,5.17,1.79
0,Y3Vyc29yOjk1,avocode/react-shortcuts,https://github.com/avocode/react-shortcuts,302,react-components,2015-08-21 09:09:16+00:00,6,32.27,11.44
